target;Proceso;FechaCreacion;EsRepresa;Tramite;TipoLiquidacion;Instancia;TiemposPublicos;TipoDoc;CodigoDane;TipoDeSolicitante;Origen;Proceso_Entrada;Oficina;EsFortalecimiento;TipoRadicado
;1;44956;0;38;1;1;0;1;;12;1;1;26;1;
;1;44938;0;38;1;1;0;1;;19;1;1;45;1;
;1;44993;0;38;1;1;0;1;;12;1;1;5;1;
;1;44978;0;6;1;1;0;1;;19;1;1;5;1;
;1;44980;0;38;1;1;0;1;;20;1;1;14;1;
;2;44839;0;25;1;2;0;1;;6;1;1;79;1;1
;1;44977;0;14;2;1;0;1;;1;1;1;25;1;
;1;44973;0;7;2;1;0;1;;6;1;1;56;1;
;1;44965;0;38;1;1;0;1;;12;1;1;70;1;
;1;44950;0;6;1;1;0;1;;12;1;1;10;1;
;1;44977;0;6;1;1;0;1;;13;1;1;11;1;
;1;44967;0;38;1;1;0;1;;12;1;1;14;1;
;1;45008;0;16;1;1;0;1;;5;1;1;55;1;
;1;45006;0;1;1;2;0;1;;11;1;1;13;1;
;1;44984;0;10;1;1;0;1;;16;1;1;26;1;
;1;45013;0;21;1;5;0;1;;11;1;1;25;1;
;1;44966;0;25;1;2;0;1;;6;1;1;26;1;
;1;44936;0;25;2;3;0;1;;6;1;1;13;1;
;1;44953;0;38;1;1;0;1;;12;1;1;6;1;
;1;45006;0;32;1;3;0;1;;6;1;1;12;1;
;1;44985;0;38;1;1;0;1;;19;1;1;21;1;
;1;44978;0;38;1;1;0;1;;14;1;1;11;1;
;1;44965;0;38;1;1;0;1;;19;1;1;6;1;
;2;44928;0;30;1;2;0;1;;6;1;1;19;1;1
;1;44988;0;15;2;1;0;1;;5;1;1;27;1;
;1;44999;0;25;2;5;0;1;;6;1;1;15;1;
;1;45006;0;38;1;1;0;1;;12;1;1;36;1;
;1;44973;0;38;1;1;0;1;;12;1;1;15;1;
;1;44974;0;38;1;1;0;1;;12;1;1;15;1;
;2;44651;0;35;2;5;0;1;76400;1;4;5;;0;1
;1;44967;0;38;1;1;0;1;;23;1;1;36;1;
;1;44977;0;38;1;1;0;1;;12;1;1;44;1;
;1;44950;0;10;1;1;0;1;;13;1;1;78;1;
;1;44998;0;38;1;1;0;1;;19;1;1;36;1;
;1;45008;0;10;1;1;0;1;;12;1;1;24;1;
;1;44979;0;38;1;1;0;1;;12;1;1;11;1;
;1;44978;0;24;1;2;0;1;;6;1;1;64;1;
;1;44946;0;6;1;1;0;1;;12;1;1;50;1;
;1;44953;0;38;1;1;0;1;;12;1;1;24;1;
;1;44987;0;25;1;5;0;1;;6;1;1;21;1;
;1;45007;0;25;1;2;0;1;;6;1;1;26;1;
;1;44966;0;16;1;1;0;1;;3;1;1;70;1;
;1;44991;0;6;1;1;0;1;;9;1;1;6;1;
;1;44964;0;8;1;1;0;1;;3;1;1;70;1;
;1;44929;0;14;2;1;0;1;;18;1;1;14;1;
;2;44858;0;30;2;1;0;1;;1;1;1;25;1;1
;1;44966;0;15;1;1;0;1;;5;1;1;17;1;
;1;44951;0;38;1;1;0;1;;24;1;1;64;1;
;1;44963;0;38;1;1;0;1;;19;1;1;26;1;
;1;44938;0;38;1;1;0;1;;21;1;1;5;1;
;1;44964;0;38;1;1;0;1;;19;1;1;14;1;
;1;44958;0;32;2;3;0;1;;6;1;1;12;1;
;1;44951;0;8;1;1;0;1;;7;1;1;6;1;
;1;45012;0;6;1;1;0;1;;12;1;1;12;1;
;1;44981;0;25;2;3;0;1;;18;1;1;12;1;
;1;44991;0;25;2;1;0;1;;17;1;1;9;1;
;2;44846;0;25;1;1;0;1;;6;1;1;39;1;1
;1;44959;0;38;1;1;0;1;;19;1;1;26;1;
;1;44956;0;10;1;1;0;1;;25;1;1;84;1;
;2;44587;0;25;1;5;0;1;68001;1;4;5;;0;1
;1;45000;0;15;1;1;0;1;;26;1;1;11;1;
;1;44993;0;8;1;1;0;1;;3;1;1;18;1;
;1;44993;0;25;1;2;0;1;;1;1;1;34;1;
;1;44908;0;15;1;1;0;1;;5;1;1;70;1;
;2;44973;0;10;1;1;0;1;;25;1;1;48;1;1
;1;44971;0;38;1;1;0;1;;24;1;1;10;1;
;1;44907;0;19;1;1;0;1;;3;1;1;28;1;
;1;44918;0;8;1;1;0;1;;27;1;1;12;1;
;1;44985;0;30;1;2;0;1;;6;1;1;26;1;
;1;45000;0;38;1;1;0;1;;12;1;1;50;1;
;1;44979;0;32;2;5;0;1;;28;1;1;15;1;
;1;44887;0;38;1;1;0;1;;12;1;1;44;1;
;1;44971;0;25;2;2;0;1;;1;1;1;67;1;
;1;44952;0;10;1;1;0;1;;19;1;1;6;1;
;1;44932;0;38;1;1;0;1;;12;1;1;13;1;
;2;44774;0;15;1;1;1;1;;5;1;1;64;1;1
;1;44911;0;38;1;1;0;1;;19;1;1;44;1;
;1;44964;0;38;1;1;0;3;;12;1;1;25;1;
;1;44966;0;17;2;1;0;1;;1;1;1;64;1;
;1;44991;0;10;1;1;0;1;;19;1;1;32;1;
;1;44931;0;14;2;1;0;1;;1;1;1;13;1;
;1;44937;0;10;1;1;0;1;;29;1;1;14;1;
;2;44895;0;23;1;2;0;1;;1;1;1;16;1;1
;1;44893;0;14;2;1;0;1;;1;1;1;13;1;
;1;44967;0;15;2;1;0;1;;26;1;1;19;1;
;1;44970;0;32;2;2;0;1;;18;1;1;12;1;
;1;44966;0;6;1;1;0;1;;12;1;1;24;1;
;1;44914;0;8;1;1;0;1;;3;1;1;70;1;
;1;44909;0;38;1;1;0;1;;13;1;1;24;1;
;1;44894;0;7;2;1;0;1;;18;1;1;37;1;
;1;44936;0;10;1;1;0;1;;16;1;1;40;1;
;1;44974;0;38;1;1;0;1;;12;1;1;26;1;
;1;44928;0;10;1;1;0;1;;9;1;1;28;1;
;2;44980;0;17;2;1;0;1;;1;1;1;64;1;1
;1;44928;0;14;2;1;0;1;;1;1;1;23;1;
;1;44964;0;16;2;1;0;1;;27;1;1;24;1;
;1;44944;0;38;1;1;0;1;;12;1;1;20;1;
;1;44967;0;38;1;1;0;1;;14;1;1;17;1;
;1;44932;0;38;1;1;0;1;;12;1;1;34;1;
;1;44932;0;10;1;1;0;1;;13;1;1;21;1;
;1;44985;0;38;1;1;0;1;;12;1;1;15;1;
;2;44944;0;30;1;2;0;1;;6;1;1;6;1;1
;1;44908;0;6;1;1;0;1;;13;1;1;24;1;
;1;44980;0;10;1;1;0;1;;19;1;1;46;1;
;1;44932;0;38;1;1;0;1;;21;1;1;14;1;
;1;44931;0;6;1;1;0;1;;12;1;1;11;1;
;1;44959;0;14;2;1;0;1;;18;1;1;36;1;
;1;44904;0;6;1;1;0;1;;12;1;1;6;1;
;1;44914;0;38;1;1;0;1;;12;1;1;28;1;
;1;44965;0;38;1;1;0;1;;12;1;1;64;1;
;1;44918;0;38;1;1;0;1;;24;1;1;6;1;
;1;44914;0;38;1;1;0;2;;9;1;1;63;1;
;1;44943;0;38;1;1;0;1;;13;1;1;15;1;
;2;44970;0;14;1;1;0;1;23001;1;3;4;1;0;
;1;44956;0;25;2;2;0;1;;1;1;1;24;1;
;1;44931;0;6;1;1;0;1;;12;1;1;35;1;
;2;44848;0;25;1;1;0;1;;1;1;1;24;1;1
;1;44972;0;6;1;1;0;1;;16;1;1;6;1;
;1;44963;0;6;1;1;0;1;;12;1;1;19;1;
;1;44977;0;11;1;1;0;1;;12;1;1;64;1;
;1;44946;0;38;1;1;0;1;;30;1;1;12;1;
;1;44992;0;25;1;2;0;1;;1;1;1;25;1;
;1;44902;0;38;2;1;0;1;;13;1;1;11;1;
;1;44942;0;38;1;1;0;1;;19;1;1;14;1;
;1;44930;0;38;1;1;0;1;;12;1;1;35;1;
;1;44937;0;38;1;1;0;1;;19;1;1;15;1;
;1;44959;0;26;1;2;0;1;;1;1;1;24;1;
;1;44929;0;6;1;1;0;1;;13;1;1;32;1;
;1;44978;0;6;1;1;0;1;;16;1;1;55;1;
;2;44991;0;14;1;1;0;1;5001;1;3;4;1;0;
;2;44991;0;14;1;1;0;1;11001;1;3;4;1;0;
;2;44860;0;15;1;1;1;1;;5;1;1;81;1;1
;2;44909;0;25;2;2;0;1;;1;1;1;12;1;1
;2;44895;0;38;1;1;0;1;;12;1;1;12;1;1
;2;44895;0;24;1;2;0;1;;11;1;1;8;1;1
;2;45006;0;7;1;1;0;1;68081;1;3;4;1;0;
;2;44909;0;36;1;2;0;1;;18;1;1;79;1;1
;2;44909;0;25;2;2;0;1;;6;1;1;84;1;1
;2;44916;0;21;1;6;0;1;;6;1;1;40;1;1
;2;44904;0;21;1;2;0;1;;11;1;1;12;1;1
;2;44978;0;14;1;1;0;1;11001;1;3;4;1;0;
;2;44909;0;38;1;1;0;1;;19;1;1;44;1;1
;2;44887;0;36;1;2;0;1;;11;1;1;16;1;1
;2;44883;0;25;1;5;0;1;66001;1;4;5;;0;1
;2;44768;0;25;2;5;0;1;;6;1;1;35;1;1
;2;44861;0;25;2;2;0;1;;6;1;1;77;1;1
;2;45012;0;14;2;1;0;1;76001;1;3;4;1;0;
;2;44908;0;21;1;5;0;1;5266;11;4;5;;0;1
;2;44943;0;14;1;1;0;1;13001;6;3;4;1;0;
;2;44914;0;25;1;2;0;1;;18;1;1;6;1;1
;2;44883;0;25;1;2;0;1;;18;1;1;27;1;1
;2;44831;0;7;2;1;0;1;;18;1;1;56;1;1
;2;44915;0;6;1;1;0;1;;16;1;1;26;1;1
;2;44998;0;14;1;1;0;1;19001;1;3;4;1;0;
;2;44998;0;14;1;1;0;1;23068;1;3;4;1;0;
;2;44937;0;38;1;1;0;1;;12;1;1;6;1;1
;2;44998;0;7;1;1;0;1;17380;1;3;4;1;0;
;2;44946;0;14;1;1;0;1;13001;1;3;4;1;0;
;2;44910;0;15;1;1;1;1;;5;1;1;25;1;1
