target;Proceso;FechaCreacion;EsRepresa;Tramite;TipoLiquidacion;Instancia;TiemposPublicos;TipoDoc;CodigoDane;TipoDeSolicitante;Origen;Proceso_Entrada;Oficina;EsFortalecimiento;TipoRadicado
CANDIDATO AUTOMATICO;1;1/02/2023;0;1;1;1;0;1;;11;1;1;25;1;
CANDIDATO AUTOMATICO;1;15/11/2022;0;14;1;1;0;1;;2;1;1;70;1;
CANDIDATO AUTOMATICO;1;13/12/2022;0;7;1;1;0;1;;18;1;1;7;1;
CANDIDATO AUTOMATICO;1;11/01/2023;0;7;1;1;0;1;;1;1;1;78;1;
CANDIDATO AUTOMATICO;1;28/02/2023;0;1;1;1;0;1;;18;1;1;15;1;
CANDIDATO AUTOMATICO;1;10/01/2023;0;14;1;1;0;1;;1;1;1;70;1;
CANDIDATO AUTOMATICO;1;27/01/2023;0;7;1;1;0;2;;18;1;1;11;1;
CANDIDATO AUTOMATICO;1;15/12/2022;0;1;1;1;0;1;;11;1;1;84;1;
CANDIDATO AUTOMATICO;1;31/01/2023;0;1;1;1;0;1;;11;1;1;27;1;
CANDIDATO AUTOMATICO;1;23/02/2023;0;1;1;1;0;1;;18;1;1;71;1;
CANDIDATO AUTOMATICO;1;9/02/2023;0;1;1;1;0;1;;11;1;1;48;1;
CANDIDATO AUTOMATICO;1;16/01/2023;0;1;1;1;0;1;;11;1;1;70;1;
CANDIDATO AUTOMATICO;1;15/12/2022;0;1;1;1;0;1;;18;1;1;22;1;
CANDIDATO AUTOMATICO;1;8/02/2023;0;1;1;1;0;1;;11;1;1;25;1;
CANDIDATO AUTOMATICO;1;20/01/2023;0;7;1;1;0;1;;1;1;1;25;1;
CANDIDATO AUTOMATICO;1;18/01/2023;0;1;1;1;0;1;;11;1;1;20;1;
CANDIDATO AUTOMATICO;1;14/12/2022;0;1;1;1;0;1;;18;1;1;59;1;
CANDIDATO AUTOMATICO;1;21/12/2022;0;7;1;1;0;1;;1;1;1;77;1;
CANDIDATO AUTOMATICO;1;13/01/2023;0;7;1;1;0;1;;1;1;1;17;1;
CANDIDATO AUTOMATICO;1;10/01/2023;0;7;1;1;0;1;;1;1;1;9;1;
CANDIDATO AUTOMATICO;1;17/11/2022;0;7;1;1;0;1;;6;1;1;64;1;
CANDIDATO AUTOMATICO;1;21/02/2023;0;1;1;1;0;1;;18;1;1;15;1;
CANDIDATO AUTOMATICO;1;18/01/2023;0;7;1;1;0;1;;1;1;1;7;1;
CANDIDATO AUTOMATICO;1;17/02/2023;0;14;1;1;0;1;;1;1;1;17;1;
CANDIDATO AUTOMATICO;1;25/01/2023;0;7;1;1;0;1;;6;1;1;20;1;
CANDIDATO AUTOMATICO;1;2/11/2022;0;7;1;1;0;1;;1;1;1;84;1;
CANDIDATO AUTOMATICO;1;27/02/2023;0;1;1;1;0;1;;11;1;1;18;1;
CANDIDATO AUTOMATICO;1;11/01/2023;0;14;1;1;0;1;;1;1;1;19;1;
CANDIDATO AUTOMATICO;1;11/01/2023;0;7;1;1;0;1;;1;1;1;42;1;
CANDIDATO AUTOMATICO;1;2/11/2022;0;7;1;1;0;1;;1;1;1;64;1;
CANDIDATO AUTOMATICO;1;1/12/2022;0;7;1;1;0;1;;1;1;1;80;1;
CANDIDATO AUTOMATICO;1;10/01/2023;0;7;1;1;0;1;;1;1;1;8;1;
CANDIDATO AUTOMATICO;1;16/12/2022;0;1;1;1;0;1;;11;1;1;70;1;
CANDIDATO AUTOMATICO;1;12/12/2022;0;7;1;1;0;1;;18;1;1;24;1;
CANDIDATO AUTOMATICO;1;23/12/2022;0;7;1;1;0;1;;6;1;1;38;1;
CANDIDATO AUTOMATICO;1;30/01/2023;0;1;1;1;0;1;;11;1;1;75;1;
CANDIDATO AUTOMATICO;1;30/11/2022;0;7;1;1;0;1;;1;1;1;8;1;
CANDIDATO AUTOMATICO;1;13/02/2023;0;7;1;1;0;1;;1;1;1;25;1;
CANDIDATO AUTOMATICO;1;2/02/2023;0;7;1;1;0;1;;1;1;1;46;1;
CANDIDATO AUTOMATICO;1;1/02/2023;0;1;1;1;0;1;;11;1;1;35;1;
CANDIDATO AUTOMATICO;1;7/02/2023;0;1;1;1;0;1;;11;1;1;36;1;
CANDIDATO AUTOMATICO;2;6/03/2023;0;7;1;1;0;1;;1;1;1;8;1;1
CANDIDATO AUTOMATICO;2;6/03/2023;0;7;1;1;0;1;;6;1;1;75;1;1
CANDIDATO AUTOMATICO;2;8/03/2023;0;7;1;1;0;1;;1;1;1;7;1;1
