No_Radicacion;Proceso;FechaCreacion;EsRepresa;Tramite;TipoLiquidacion;Instancia;TiemposPublicos;TipoDoc;CodigoDane;TipoDeSolicitante;Origen;Proceso_Entrada;Oficina;EsFortalecimiento;TipoRadicado;Grupotrabajo;Salarioprom;Target;salariosMin
2023_3914061;2;44998;0;21;1;2;0;1;;11;1;1;24;1;1;2;;MANUAL;11
2023_1020633_2;2;45000;0;25;1;5;0;1;5360;1;4;5;;0;1;1;;MANUAL;11
2022_12168560_2;2;45013;0;25;2;5;0;1;66001;1;4;5;;0;1;1;;MANUAL;11
2022_18147787_2;2;44992;0;25;2;5;0;1;76001;1;4;5;;0;1;1;;MANUAL;11
2022_18294291_2;2;44987;0;25;2;5;0;1;76001;1;4;5;;0;1;1;;MANUAL;12
2023_1280804_2;2;44998;0;30;1;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;12
2023_575083_2;2;45008;0;25;2;5;0;1;11001;6;4;5;;0;1;1;;MANUAL;12
2023_456948;2;44936;0;15;1;1;1;1;;5;1;1;23;1;1;2;;MANUAL;12
2023_3028882;2;44981;0;15;1;1;1;1;;5;1;1;70;1;2;2;;MANUAL;12
2023_898064_2;2;44995;0;23;1;5;0;1;70820;18;4;5;;0;1;1;;MANUAL;13
2022_16537487_2;2;45013;0;25;2;5;0;1;15407;28;4;5;;0;1;1;;MANUAL;13
2023_1162469_2;2;44998;0;23;1;5;0;1;5001;1;4;5;;0;1;1;;MANUAL;13
2023_3618214;2;44992;0;23;1;2;0;1;;1;1;1;21;1;2;2;;MANUAL;13
2023_1079867_2;2;44991;0;23;1;5;0;1;73001;18;4;5;;0;1;1;;MANUAL;13
2023_1391385_2;2;45013;0;36;1;5;0;1;85001;11;4;5;;0;1;1;;MANUAL;13
2022_16596060_2;2;45001;0;25;2;5;0;1;11001;17;4;5;;0;1;1;;MANUAL;14
2022_14671332_2;2;44993;0;25;2;5;0;1;20001;1;4;5;;0;1;1;;MANUAL;14
2023_209457;2;44930;0;15;1;1;1;1;;5;1;1;83;1;1;2;;MANUAL;14
2022_17276439;2;44888;0;15;1;1;1;1;;5;1;1;4;1;1;2;;MANUAL;14
2023_1195003_2;2;44999;0;30;1;5;0;1;5045;6;4;5;;0;1;1;;MANUAL;14
2022_14974604_2;2;45015;0;25;2;5;0;1;68001;18;4;5;;0;1;1;;MANUAL;14
2023_937127_2;2;45002;0;25;2;5;0;1;23001;6;4;5;;0;1;1;;MANUAL;15
2022_17587858_2;2;44987;0;21;1;5;0;1;73001;11;4;5;;0;1;1;;MANUAL;15
2023_3000441_2;2;45013;0;25;2;5;0;1;76001;17;4;5;;0;1;1;;MANUAL;15
2022_17262077_2;2;45013;0;25;1;5;0;1;66001;1;4;5;;0;1;1;;MANUAL;15
2022_18330728_2;2;45016;0;25;1;5;0;1;5376;1;4;5;;0;1;1;;MANUAL;15
2022_15754171;2;44861;0;15;1;1;1;1;;31;1;1;64;1;1;2;;MANUAL;15
2022_18185014_2;2;44994;0;21;1;5;0;1;54001;18;4;5;;0;1;1;;MANUAL;16
2023_244012_2;2;45013;0;21;1;5;0;1;5001;11;4;5;;0;1;1;;MANUAL;16
2022_13654041_2;2;44993;0;30;2;5;0;1;76001;1;4;5;;0;1;1;;MANUAL;16
2023_579662;2;44938;0;15;1;1;1;1;;5;1;1;70;1;1;2;;MANUAL;16
2023_1331807_2;2;45026;0;25;1;5;0;1;5001;6;4;5;;0;2;1;;MANUAL;16
2023_104116_2;2;44998;0;30;1;5;0;1;63130;6;4;5;;0;1;1;;MANUAL;16
2023_760400_2;2;45007;0;25;2;5;0;1;5631;1;4;5;;0;1;1;;MANUAL;16
2023_830539_2;2;45002;0;25;2;5;0;1;5001;18;4;5;;0;1;1;;MANUAL;17
2022_18590681_2;2;44995;0;25;1;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;17
2023_358304_2;2;44995;0;25;1;5;0;1;76111;18;4;5;;0;1;1;;MANUAL;17
2022_17525579_2;2;44991;0;25;1;5;0;1;20001;1;4;5;;0;1;1;;MANUAL;17
2022_13446142_2;2;44988;0;25;1;5;0;1;11001;18;4;5;;0;1;1;;MANUAL;17
2023_943711_2;2;45006;0;25;2;5;0;1;11001;6;4;5;;0;1;1;;MANUAL;17
2022_18745566_2;2;45001;0;23;2;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;18
2023_2372816_2;2;44991;0;25;2;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;18
2022_15743131_2;2;45000;0;25;2;5;0;1;15001;28;4;5;;0;1;1;;MANUAL;18
2022_18396899_2;2;44989;0;21;1;5;0;1;13430;11;4;5;;0;1;1;;MANUAL;18
2023_947371_2;2;44998;0;30;1;5;0;1;68001;18;4;5;;0;1;1;;MANUAL;18
2023_1302239_2;2;45008;0;25;1;5;0;1;47001;18;4;5;;0;1;1;;MANUAL;19
2023_964667_2;2;45001;0;25;2;5;0;1;15001;1;4;5;;0;1;1;;MANUAL;19
2023_450061;2;44936;0;15;1;1;1;1;;5;1;1;70;1;1;2;;MANUAL;19
2023_67148_2;2;45014;0;25;1;5;0;1;11001;6;4;5;;0;1;1;;MANUAL;19
2022_16915175_2;2;45013;0;30;1;5;0;1;76001;6;4;5;;0;1;1;;MANUAL;19
2023_3193336_2;2;45014;0;25;2;5;0;1;23001;6;4;5;;0;1;1;;MANUAL;19
2023_1318011_2;2;44998;0;30;1;5;0;1;52001;18;4;5;;0;1;1;;MANUAL;20
2023_1043421_2;2;44999;0;23;2;5;0;1;19001;6;4;5;;0;1;1;;MANUAL;20
2022_18770325;2;44916;0;15;1;1;1;1;;5;1;1;45;1;1;2;;MANUAL;20
2023_1155238_2;2;45002;0;25;1;5;0;1;13001;17;4;5;;0;1;1;;MANUAL;20
2023_1283927_2;2;45008;0;23;2;5;0;1;50006;1;4;5;;0;1;1;;MANUAL;20
2023_4525570;2;45009;0;38;2;1;0;1;;12;1;1;36;1;2;2;;MANUAL;21
2023_4454722;2;45008;0;14;2;1;0;1;;1;1;1;12;1;2;2;;MANUAL;21
2023_4004526;2;44999;0;15;1;1;1;1;;5;1;1;30;1;2;2;;MANUAL;21
2023_965904_2;2;45002;0;25;2;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;21
